App,Category,RAM,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,Description
Adobe Premiere Pro,['Video'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,"Professional timeline-based video editing software for film, TV, and web."
Adobe Photoshop,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 4060 Ti,AMD RX 7700 XT,NVIDIA RTX 4060 Ti,37686,28423,5917,37,5917,Industry-standard raster graphics editor for photo editing and digital art.
DaVinci Resolve,['Video'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,Professional color correction and non-linear video editing software.
Blender,['3D'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,"Free and open-source 3D creation suite for modeling, animation, and rendering."
Autodesk Maya,['3D'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,"Professional 3D computer graphics software for animation, modeling, and rendering."
CorelDRAW,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 3060,AMD RX 6700 XT,NVIDIA RTX 3060,37686,28423,11352,37,11352,"Vector graphics editor for illustration, layout, and design."
VEGAS Pro,['Video'],32,Intel Core i7-13700H,AMD Ryzen 7 7840HS,NVIDIA RTX 4060 Laptop,AMD RX 7700S,NVIDIA RTX 4060 Laptop,26456,28750,9744,6519,9744,Professional video editing software for creative production and live streaming.
Affinity Photo,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 4060,AMD RX 7600,NVIDIA RTX 4060,37686,28423,11352,6519,11352,Professional raster graphics editor for photo editing and design.
Final Cut Pro,['Video'],32,,,,,,0,0,0,0,0,Professional non-linear video editing software for macOS.
Lightroom Classic,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Photo editing and organization software for professional photographers.
Cinema 4D,['3D'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,"3D modeling, animation, and rendering software for motion graphics."
Avid Media Composer,['Video'],64,Intel Core i7-13700HX,AMD Ryzen 9 7940HS,NVIDIA RTX 4070 Laptop,AMD RX 7700S,NVIDIA RTX 4070 Laptop,32855,30132,9744,6519,9744,Industry-standard video editing software for film and television production.
HitFilm Express,['Video'],32,Intel Core i7-13700H,AMD Ryzen 7 7840HS,NVIDIA RTX 4060 Laptop,AMD RX 7700S,NVIDIA RTX 4060 Laptop,26456,28750,9744,6519,9744,Video editing and visual effects software with compositing tools.
Capture One,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Professional photo editing software with RAW processing capabilities.
Krita,['Design'],32,Intel Core i5-13500H,AMD Ryzen 7 7735HS,NVIDIA RTX 4060 Laptop,AMD RX 7600S,NVIDIA RTX 4060 Laptop,21876,23295,9744,6519,9744,Free and open-source digital painting software for artists.
SketchUp,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,3D modeling software for architectural and interior design.
PaintTool SAI,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 3060,AMD RX 7600,NVIDIA RTX 3060,37686,28423,11352,6519,11352,Lightweight painting software for digital artists and illustrators.
Adobe Illustrator,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Industry-standard vector graphics editor for design and illustration.
ZBrush,['3D'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,45924,51447,11352,37,11352,Digital sculpting and painting software for high-resolution 3D models.
OpenToonz,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 4060 Ti,AMD RX 7700 XT,NVIDIA RTX 4060 Ti,37686,28423,5917,37,5917,2D animation software for traditional and digital animation production.
Adobe After Effects,['Video'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,Motion graphics and visual effects software for film and video.
Adobe Lightroom,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Cloud-based photo editing and organization service.
Adobe InDesign,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 4060 Ti,AMD RX 7700 XT,NVIDIA RTX 4060 Ti,37686,28423,5917,37,5917,Desktop publishing software for layout design and typesetting.
Adobe XD,['UI/UX'],32,Intel Core i5-13500H,AMD Ryzen 5 7640HS,AMD Radeon 780M,AMD Radeon 780M,Intel Iris Xe,21876,23040,6977,6977,2657,User experience design tool for websites and mobile apps.
Adobe Animate,['Animation'],32,Intel Core i7-13700H,AMD Ryzen 7 7840HS,NVIDIA RTX 4060 Laptop,AMD RX 7700S,NVIDIA RTX 4060 Laptop,26456,28750,9744,6519,9744,Multimedia authoring software for animation and interactive content.
Adobe Dreamweaver,['Web'],32,Intel Core i5-13500H,AMD Ryzen 5 7640HS,AMD Radeon 780M,AMD Radeon 780M,Intel Iris Xe,21876,23040,6977,6977,2657,Web development tool for designing and publishing websites.
Adobe Substance 3D Painter,['3D'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,3D texturing software for physically-based rendering materials.
Adobe Substance 3D Designer,['3D'],96,Intel Core i9-13900,AMD Ryzen 9 7950X,NVIDIA RTX 4090,AMD RX 7900 XTX,NVIDIA RTX 4090,45924,62524,11352,610,11352,Material authoring tool for procedural texture creation.
Adobe Substance 3D Sampler,['3D'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070 Ti,AMD RX 7900 XT,NVIDIA RTX 4070 Ti,36551,35822,5917,37,5917,Material creation tool using AI-assisted image conversion.
Affinity Designer,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Vector graphics editor for professional illustration and design.
Affinity Publisher,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 4060 Ti,AMD RX 7700 XT,NVIDIA RTX 4060 Ti,37686,28423,5917,37,5917,Professional publishing software for layout and typography.
Lightworks,['Video'],64,Intel Core i7-13700HX,AMD Ryzen 7 7840HS,NVIDIA RTX 4070 Laptop,AMD RX 7700S,NVIDIA RTX 4070 Laptop,32855,28750,9744,6519,9744,Professional non-linear editing system for video production.
Clip Studio Paint,['Design'],32,Intel Core i5-13500H,AMD Ryzen 5 7640HS,NVIDIA RTX 4050 Laptop,AMD RX 7600S,NVIDIA RTX 4050 Laptop,21876,23040,9744,6519,9744,"Digital art software for comics, manga, and illustration."
GIMP,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 3060,AMD RX 6700 XT,NVIDIA RTX 3060,37686,28423,11352,37,11352,Free and open-source image manipulation program.
Inkscape,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 3060,AMD RX 6700 XT,NVIDIA RTX 3060,37686,28423,11352,37,11352,Free and open-source vector graphics editor.
Figma,['UI/UX'],32,Intel Core i5-13500H,AMD Ryzen 5 7640HS,AMD Radeon 780M,AMD Radeon 780M,Intel Iris Xe,21876,23040,6977,6977,2657,Collaborative interface design tool for web and mobile applications.
Procreate,['Design'],8,,,,,,0,0,0,0,0,Digital painting app designed for artists on iPadOS.
3ds Max,['3D'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,3D modeling and rendering software for design visualization and games.
Houdini,['3D'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,3D animation software for visual effects and procedural generation.
Unity,['Game Dev'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Game development engine for creating 2D and 3D interactive content.
Unreal Engine,['Game Dev'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,Real-time 3D creation tool for photoreal visuals and immersive experiences.
Toon Boom Harmony,['Animation'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Industry-standard 2D animation software for production pipelines.
Marvelous Designer,['3D'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,3D clothing design software for virtual fashion and characters.
KeyShot,['Rendering'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,Real-time ray tracing and global illumination rendering software.
Nuke,['VFX'],96,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,Node-based compositing software for visual effects and film production.
Arnold Renderer,['Rendering'],96,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,Advanced ray-tracing renderer for feature-length animation and VFX.
Redshift,['Rendering'],96,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4090,AMD RX 7900 XTX,NVIDIA RTX 4090,45924,51447,11352,610,11352,GPU-accelerated renderer for high-end production rendering.
Audacity,['Audio'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,AMD Radeon 780M,AMD Radeon 780M,Intel UHD 770,37686,28423,6977,6977,56,"Free, open-source digital audio editor and recording software."
OBS Studio,['Broadcast'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Free and open-source software for video recording and live streaming.
REAPER,['Audio'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,AMD Radeon 780M,AMD Radeon 780M,Intel UHD 770,36551,35822,6977,6977,56,Digital audio workstation with full multitrack audio and MIDI recording.
Resolume Arena,['Live Visuals'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,Real-time video mixing software for VJing and live performances.
TouchDesigner,['Live Visuals'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4090,AMD RX 7900 XTX,NVIDIA RTX 4090,45924,51447,11352,610,11352,Visual development platform for realtime interactive projects.
Ableton Live,['Audio'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,AMD Radeon 780M,AMD Radeon 780M,Intel UHD 770,36551,35822,6977,6977,56,Digital audio workstation for music production and live performance.
Pro Tools,['Audio'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,AMD Radeon 780M,AMD Radeon 780M,Intel UHD 770,45924,51447,6977,6977,56,Industry-standard digital audio workstation for music and post-production.
FL Studio,['Audio'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,AMD Radeon 780M,AMD Radeon 780M,Intel UHD 770,36551,35822,6977,6977,56,Digital audio workstation for music production and beat making.
Max/MSP,['Audio'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,AMD Radeon 780M,AMD Radeon 780M,Intel UHD 770,36551,35822,6977,6977,56,Visual programming language for music and multimedia applications.
V-Ray,['Rendering'],96,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,Rendering engine for photorealistic visualization and animation.
Octane Render,['Rendering'],96,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4090,AMD RX 7900 XTX,NVIDIA RTX 4090,45924,51447,11352,610,11352,GPU-accelerated rendering application for real-time ray tracing.
Quixel Mixer,['3D'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Texture creation software for photorealistic material blending.
Mari,['3D'],96,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4090,AMD RX 7900 XTX,NVIDIA RTX 4090,45924,51447,11352,610,11352,3D texture painting software for complex assets and look development.
Blackmagic Fusion,['VFX'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070 Ti,AMD RX 7900 XT,NVIDIA RTX 4070 Ti,36551,35822,5917,37,5917,Visual effects software for compositing and motion graphics.
Adobe Audition,['Audio'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,AMD Radeon 780M,AMD Radeon 780M,Intel UHD 770,36551,35822,6977,6977,56,"Digital audio workstation for radio, video, and podcast production."
